,Date,Low,High,Close,Open
3126,2006-02-16,24.88,25.42,25.15,24.88
3125,2003-09-10,33.6,36.27,33.91,35.3
3124,2002-06-28,13.45,14.19,13.99,13.45
3123,2010-10-22,165.94,171.48,168.1,167.1
3122,2014-08-20,464.541,473.75,472.19,467.0
3121,2016-12-08,122.16,126.35,123.24,125.4
3120,2014-04-23,353.0,367.5,353.5,362.73
3119,2005-08-24,20.86,21.71,21.04,20.95
3118,2010-07-07,107.28,118.5,118.49,108.82
3117,2015-01-26,433.7,447.29,446.56,438.0
3116,2015-08-26,102.02,110.28,110.13,107.15
3115,2002-11-20,9.25,10.19,10.04,9.44
3114,2004-03-03,33.01,34.6,33.02,34.44
3113,2005-01-05,11.09,11.74,11.2,11.74
3112,2013-03-01,186.21,190.34,189.37,187.11
3111,2015-10-27,101.23,104.72,103.07,102.58
3110,2008-02-28,31.5,34.31,31.54,31.62
3109,2014-09-29,442.02,450.54,449.56,444.07
3108,2013-03-26,183.6,192.64,190.61,184.0
3107,2015-02-06,442.23,451.0,444.36,449.75
3106,2007-12-07,23.44,23.93,23.57,23.89
3105,2016-10-28,126.0118,128.93,126.57,126.08
3104,2003-08-20,25.71,28.86,27.72,25.71
3103,2004-01-29,68.69,73.03,70.75,72.9
3102,2010-11-23,186.045,192.1,187.71,186.23
3101,2018-07-26,356.625,365.54,363.09,358.19
3100,2006-03-02,26.38,27.12,26.81,26.65
3099,2014-08-26,474.551,481.85,479.36,478.5
3098,2003-01-06,10.67,11.2,11.1,11.0
3097,2008-09-23,31.31,32.5,31.53,31.84
3096,2009-12-22,53.41,55.2,53.61,54.0
3095,2004-05-11,28.41,29.56,29.4,28.48
3094,2009-04-16,46.29,48.64,48.27,46.75
3093,2008-01-09,21.68,23.5,23.0,23.21
3092,2012-08-08,57.172,58.89,57.8,57.57
3091,2010-03-09,68.15,71.345,69.94,68.2
3090,2012-01-10,92.5,99.84,95.83,99.8
3089,2012-08-13,58.5,61.25,59.91,61.22
3088,2003-06-26,23.12,25.21,24.88,23.22
3087,2005-04-29,11.45,11.74,11.55,11.57
3086,2014-11-04,378.77,387.25,382.78,386.92
3085,2002-10-17,6.6,8.2,7.7,6.61
3084,2005-05-09,11.45,11.75,11.61,11.5
3083,2003-12-19,50.35,51.79,51.07,51.19
3082,2003-09-15,34.45,36.14,35.51,34.75
3081,2002-09-20,9.8,10.75,9.919,10.55
3080,2012-07-02,67.25,68.9,67.85,68.77
3079,2011-09-22,125.25,132.9,128.53,132.13
3078,2017-08-16,166.25,170.5,169.98,167.5
3077,2004-01-22,73.22,79.2,77.66,75.811
3076,2007-07-13,20.02,20.45,20.14,20.02
3075,2015-07-09,660.0,670.92,670.09,664.3
3074,2016-11-10,113.7,122.97,115.42,122.76
3073,2007-08-17,17.01,17.95,17.24,17.95
3072,2012-12-28,88.9,90.55,89.33,89.8
3071,2013-04-26,212.52,217.13,215.55,217.0
3070,2004-02-27,33.02,34.97,34.4,33.99
3069,2004-10-01,15.91,17.61,16.33,17.4
3068,2009-01-09,32.16,33.39,32.26,33.39
3067,2012-09-07,55.85,57.8,56.66,56.68
3066,2008-12-29,27.5,30.01,27.93,28.74
3065,2014-02-12,425.54,434.9,428.93,434.78
3064,2012-12-14,92.0,94.69,93.3,92.67
3063,2012-10-11,65.2301,67.0995,65.98,66.9
3062,2013-09-30,305.2,312.15,309.21,307.72
3061,2012-12-21,91.11,92.88,91.34,92.05
3060,2007-11-14,24.72,25.6,24.84,25.59
3059,2008-12-10,27.73,28.96,28.48,28.29
3058,2004-11-05,10.61,11.4,10.92,10.799
3057,2005-12-02,27.0,27.78,27.69,27.02
3056,2017-08-31,173.86,176.24,174.71,175.45
3055,2006-05-04,29.56,30.05,29.99,29.61
3054,2004-06-21,28.75,29.68,28.92,29.55
3053,2003-03-19,18.7,19.58,19.24,19.09
3052,2011-07-22,270.55,278.7,276.58,272.99
3051,2011-06-01,265.5,273.64,267.26,269.47
3050,2013-09-04,286.99,293.06,292.43,288.84
3049,2015-02-09,438.46,446.5,443.065,442.39
3048,2016-01-19,105.55,110.14,107.89,106.57
3047,2012-08-06,54.11,57.17,56.79,54.54
3046,2008-02-27,30.0,32.54,32.43,30.59
3045,2008-05-28,30.95,32.4,31.12,32.045
3044,2009-12-17,53.7,54.8181,53.73,54.56
3043,2013-07-08,225.51,235.24,233.1,226.98
3042,2004-11-23,10.91,11.4,10.95,11.32
3041,2016-06-14,93.27,95.8,94.12,94.16
3040,2017-07-20,182.7,185.92,183.6,183.84
3039,2006-10-27,27.38,27.99,27.59,27.65
3038,2017-02-07,141.05,144.28,144.0,141.49
3037,2015-07-27,106.25,109.86,106.43,107.79
3036,2005-03-02,10.6,11.05,10.68,10.8
3035,2009-07-01,40.455,42.47,40.62,41.58
3034,2017-09-01,173.92,176.48,174.74,175.55
3033,2014-07-11,437.1501,444.13,439.96,441.46
3032,2015-12-07,122.75,133.27,125.36,131.19
3031,2017-08-24,166.15,171.24,168.13,169.86
3030,2006-10-10,23.48,24.09,23.62,24.09
3029,2017-03-17,143.4,145.76,145.11,144.05
3028,2010-12-09,185.59,192.14,191.05,190.0
3027,2017-05-12,158.51,160.84,160.81,159.11
3026,2013-07-05,219.33,225.25,225.1,222.09
3025,2012-06-05,64.25,66.33,64.83,65.01
3024,2010-07-13,117.85,121.71,120.92,121.42
3023,2014-04-21,338.3,349.4,348.49,349.3
3022,2011-07-26,251.46,268.29,266.91,255.6
3021,2016-03-14,97.17,99.42,98.13,97.2
3020,2003-05-06,22.9,24.19,23.22,23.37
3019,2006-12-04,28.91,29.45,28.93,29.4
3018,2011-03-28,233.341,241.3,237.32,233.5
3017,2012-03-19,108.81,115.0,114.33,109.51
3016,2015-09-23,97.66,99.74,98.07,98.6
3015,2006-11-30,28.94,29.75,29.28,28.97
3014,2007-10-01,20.59,21.4,21.22,20.7
3013,2005-10-11,27.76,29.25,28.21,29.0
3012,2013-08-07,248.66,257.47,249.21,254.36
3011,2017-02-16,141.07,142.44,142.01,142.42
3010,2005-05-16,14.31,15.02,14.85,14.48
3009,2012-02-23,111.16,114.15,112.99,111.41
3008,2015-11-05,111.72,115.68,113.5,113.75
3007,2009-05-07,38.68,43.3,39.97,42.54
3006,2017-02-02,139.05,141.04,139.2,140.61
3005,2010-02-24,64.16,65.38,64.69,64.71
3004,2005-11-28,27.5,28.6,27.58,28.5
3003,2016-07-18,97.24,99.84,98.81,98.43
3002,2004-04-07,35.0,36.36,35.63,35.74
3001,2012-10-08,70.12,74.23,73.52,71.395
3000,2002-11-25,10.55,11.15,11.1,11.1
2999,2003-03-20,18.61,19.69,18.83,19.45
2998,2004-09-10,14.77,15.42,14.94,15.15
2997,2011-04-08,232.69,239.7,234.86,235.94
2996,2005-04-21,11.5,12.22,12.05,11.75
2995,2002-10-25,7.95,9.59,9.0,8.12
2994,2005-12-09,25.58,27.55,25.74,27.28
